SEQPLT16,PSTATABB,PNAME,LAT,LON,PLPRMFL,NAMEPCAP,PLNGENAN,PLCO2EQA
3842,LA,Louisiana 1,30.492200,-91.186400,PRG,450.90,2894840.00,924777.80
3843,LA,Louisiana 2,30.492200,-91.186400,NG,175.00,0.00,0.00
3844,LA,Louisiana Sugar Refining,30.049700,-90.683900,NG,7.40,15833.00,5202.07
3845,LA,Louisiana Tech University Power Plant,32.525600,-92.649700,NG,15.00,46607.00,14356.05
3846,LA,LSU Cogen,30.410556,-91.181389,NG,19.60,122951.00,36979.06
3847,LA,Mansfield Mill,32.157500,-93.556200,NG,135.00,806081.00,140279.34
3848,LA,Michoud,30.008100,-89.937200,NG,959.20,16709.00,15985.34
3849,LA,Minden,32.604639,-93.294355,NG,35.40,11590.00,11386.61
3850,LA,Monroe (LA),32.523300,-92.179400,NG,137.50,0.00,0.00
3851,LA,Morgan City,29.691436,-91.188492,NG,70.30,0.00,0.00
3852,LA,Mosaic Phosphates Uncle Sam,30.038649,-90.828312,WH,37.00,112098.00,0.00
3853,LA,Nelson Industrial Steam Company,30.284400,-93.291100,PC,1596.80,4148850.00,2231369.46
3854,LA,Neptune Gas Processing Plant,29.733600,-91.443100,OTH,4.50,19597.00,0.00
3855,LA,New Orleans,30.000000,-90.000000,NG,31.20,0.00,0.00
3856,LA,New Orleans Power,30.008100,-89.937200,NG,250.00,0.00,0.00
3857,LA,New Roads,30.726111,-91.368333,NG,9.40,4.00,4.11
3858,LA,Ninemile Point,29.947200,-90.145800,NG,2791.00,9202805.00,4607946.85
3859,LA,NRG Sterlington Power,32.688900,-92.081100,NG,208.50,1849.00,1942.79
3860,LA,Oak Point Cogen,29.811956,-90.008430,NG,23.50,95337.00,29297.87
3861,LA,Ouachita Plant,32.706100,-92.068300,NG,903.90,3902978.00,1564027.77
3862,LA,PCS Nitrogen Fertilizer LP,30.226977,-91.055114,DFO,40.00,0.00,0.00
3863,LA,Perryville Power Station,32.690800,-92.018300,NG,824.10,2812676.00,1374800.71
3864,LA,Plant 31 Paper Mill,32.486787,-92.149597,BLQ,102.20,565865.00,53988.94
3865,LA,Plaquemine,30.273333,-91.256700,NG,44.00,0.00,0.00
3866,LA,Plaquemine Cogen Facility,30.321700,-91.234700,NG,987.00,4888223.00,1868264.15
3867,LA,Plaquemine Operations,30.318611,-91.232500,NG,106.00,0.00,0.00
3868,LA,Port Allen (LA),30.477000,-91.211000,NG,7.60,49046.00,14539.62
3869,LA,PPG Plant C Caustic,30.226444,-93.293765,NG,3.40,12498.00,3013.08
3870,LA,PPG Powerhouse A,30.225054,-93.281280,PUR,52.50,20435.00,0.00
3871,LA,PPG Powerhouse C,30.226120,-93.295173,NG,357.70,1602091.50,120383.95
3872,LA,PPG Riverside,30.221746,-93.280693,PUR,162.00,245384.00,0.00
3873,LA,R S Cogen LLC,30.221000,-93.299200,NG,493.00,3062031.03,1220332.87
3874,LA,Rayne,30.234627,-92.272174,DFO,8.20,7.00,5.74
3875,LA,River Bend,30.757000,-91.332700,NUC,1035.90,7055069.00,0.00
3876,LA,Rodemacher,30.236111,-92.008333,NG,38.70,0.00,0.00
3877,LA,Shell Chemical,30.187508,-90.983963,NG,80.00,574969.00,175789.50
3878,LA,Sidney A Murray Jr Hydroelectric,31.088011,-91.618853,WAT,192.00,1103023.00,0.00
3879,LA,St Francisville Mill,30.710800,-91.323600,BLQ,57.50,112141.91,960.19
3880,LA,St. Charles Power Station (LA),30.010000,-90.460833,NG,1000.00,0.00,0.00
3881,LA,St. Mary Clean Energy Center,29.684550,-91.470619,WH,58.20,0.00,0.00
3882,LA,Sterlington,32.704700,-92.079200,NG,474.00,-619.00,2224.86
3883,LA,Stingray Facility,29.761400,-93.608600,NG,2.50,10.78,14.04
3884,LA,T J Labbe Electric Generating Station,30.255400,-92.043300,NG,100.80,12352.00,9591.36
3885,LA,Taft Cogeneration Facility,29.988800,-90.459900,NG,894.20,5810849.00,2392551.09
3886,LA,Teche Power Station,29.822222,-91.542500,NG,468.10,233763.00,162350.60
3887,LA,Thibodaux,29.799167,-90.809722,NG,21.00,0.00,0.00
3888,LA,Toca Plant,29.866700,-89.826100,NG,2.80,0.00,0.00
3889,LA,Washington Parish Energy Center,30.791389,-89.909166,NG,655.00,0.00,0.00
3890,LA,Waterford 1 & 2,29.998884,-90.476840,NG,932.00,843866.00,556976.81
3891,LA,Waterford 3,29.995267,-90.471581,NUC,1199.80,10096757.00,0.00
3892,LA,Westrock Hodge (LA),32.275200,-92.727700,BLQ,74.40,495161.41,17174.73
3893,LA,Willow Glen,30.274300,-91.116400,NG,2178.00,114083.00,73853.72
3894,MA,126 Grove Solar LLC,42.076119,-71.422707,SUN,2.00,2416.00,0.00
3895,MA,201 Sturbridge B,42.109143,-72.171188,SUN,2.00,2835.00,0.00
3896,MA,205 Sturbridge A,42.109272,-72.170507,SUN,3.00,5319.00,0.00
3897,MA,265 Pleasant Solar NG LLC,42.581389,-71.762222,SUN,2.20,1500.00,0.00
3898,MA,433 Purchase Solar NG LLC,41.809353,-71.192244,SUN,2.50,4219.00,0.00
3899,MA,651 Chase Solar NG,42.626667,-71.742778,SUN,2.50,4200.00,0.00
3900,MA,Acton Solar Landfill,42.473333,-71.430556,SUN,1.60,2123.00,0.00
3901,MA,Acushnet AD Makepeace,41.798889,-70.743611,SUN,4.70,6089.00,0.00
3902,MA,Acushnet Hawes Reed Road,41.662222,-71.042500,SUN,1.00,1763.00,0.00
3903,MA,Acushnet- High Hill,41.714444,-70.997222,SUN,3.20,4526.00,0.00
3904,MA,Acushnet-Braley Road 1,41.751667,-70.970556,SUN,1.90,2705.00,0.00
3905,MA,Adams Farm Solar,42.600000,-72.200000,SUN,3.00,4195.00,0.00
3906,MA,Agawam Solar,42.081944,-72.614444,SUN,1.50,2183.00,0.00
3907,MA,AIS Solar Project,42.501949,-71.737786,SUN,2.50,13.00,0.00
3908,MA,Ameresco Chicopee Energy,42.162647,-72.536701,LFG,7.80,49526.00,0.00
3909,MA,Amherst College Co Gen,42.371667,-72.512222,NG,1.70,8618.00,2689.09
3910,MA,Anderson Power Products Division,42.471389,-71.743333,DFO,1.00,0.00,0.00
3911,MA,ANP Bellingham Energy Company LLC,42.110577,-71.453468,NG,578.00,2226285.00,914546.44
3912,MA,ANP Blackstone Energy Company LLC,42.059876,-71.515811,NG,578.00,1524228.00,659584.13
3913,MA,Ashby Duffy Solar Farm,42.680000,-71.830000,SUN,1.80,0.00,0.00
3914,MA,Axio Green LLC,42.576111,-72.610000,SUN,2.00,2853.00,0.00
3915,MA,Ayers Village Solar,42.791944,-71.177500,SUN,2.00,2868.00,0.00
3916,MA,Barnstable Landfill,41.659722,-70.395556,SUN,4.00,5187.00,0.00
3917,MA,Barre,42.387491,-72.078069,LFG,1.00,4161.00,0.00
3918,MA,Barre II Solar Project,42.362000,-72.109000,SUN,1.50,2543.00,0.00
3919,MA,Barrett PV,42.162207,-71.864455,SUN,11.90,0.00,0.00
3920,MA,Bashaw Solar CSG 1 LLC,42.789327,-70.880032,SUN,2.00,0.00,0.00
3921,MA,Beacon Power Flywheel System 1,42.661700,-71.405000,MWH,1.00,0.00,0.00
3922,MA,Beacon Power Flywheel System 2,42.661700,-71.405000,MWH,2.00,0.00,0.00
3923,MA,Bear Swamp,42.683900,-72.959900,WAT,600.00,-151394.00,0.00
3924,MA,Belchertown,42.259548,-72.400429,SUN,1.00,1051.00,0.00
3925,MA,Belchertown Renewables,42.300000,-72.300000,SUN,4.00,0.00,0.00
3926,MA,Bellingham,42.092500,-71.483300,NG,386.10,654440.00,329719.52
3927,MA,Bellingham PV,42.075000,-71.703056,SUN,3.00,4557.00,0.00
3928,MA,Berkley East Solar LLC,41.823889,-71.041389,SUN,3.00,5252.00,0.00
