country,co2,income,population,continent
Tuvalu,1.01,3950.0,11500.0,Asia
Taiwan,11.6,51900.0,23700000.0,Asia
Tanzania,0.222,2590.0,56300000.0,Africa
Uganda,0.135,2130.0,42700000.0,Africa
Ukraine,5.09,12300.0,44200000.0,Europe
Uruguay,2.01,23000.0,3450000.0,Americas
United States,16.6,61600.0,327000000.0,Americas
Uzbekistan,2.81,7080.0,32500000.0,Asia
St. Vincent and the Grenadines,2.03,12500.0,110000.0,Americas
Venezuela,4.81,12400.0,28900000.0,Americas
Vietnam,2.16,7590.0,95500000.0,Asia
Vanuatu,0.529,3090.0,293000.0,Asia
Samoa,1.32,6390.0,196000.0,Asia
Yemen,0.356,2660.0,28500000.0,Asia
South Africa,8.1,13900.0,57800000.0,Africa
Zambia,0.302,3520.0,17400000.0,Africa
Zimbabwe,0.85,3920.0,14400000.0,Africa
