country,population,country,fertility,country,life_expectancy,country,average_daily_income
Taiwan,23.9M,Taiwan,1.3,Taiwan,81.1,Taiwan,57.7
Tanzania,67.4M,Tanzania,4.59,Tanzania,67.8,Tanzania,3.52
Uganda,48.6M,Uganda,4.98,Uganda,67.1,Uganda,3.62
Ukraine,36.7M,Ukraine,1.62,Ukraine,72.3,Ukraine,10.8
Uruguay,3.42M,Uruguay,1.93,Uruguay,78.2,Uruguay,28.6
USA,340M,USA,1.89,USA,79.5,USA,90.5
Uzbekistan,35.2M,Uzbekistan,2.12,Uzbekistan,68.9,Uzbekistan,3.83
St. Vincent and the Grenadines,104k,St. Vincent and the Grenadines,1.8,St. Vincent and the Grenadines,70.4,St. Vincent and the Grenadines,15.7
Venezuela,28.8M,Venezuela,2.16,Venezuela,75.8,Venezuela,4.32
Vietnam,98.9M,Vietnam,1.93,Vietnam,75.1,Vietnam,17
Vanuatu,335k,Vanuatu,3.04,Vanuatu,66.2,Vanuatu,4.84
Samoa,226k,Samoa,3.65,Samoa,71.1,Samoa,9.9
Yemen,34.4M,Yemen,3.37,Yemen,67.2,Yemen,2.16
South Africa,60.4M,South Africa,2.29,South Africa,61.9,South Africa,11.4
Zambia,20.6M,Zambia,4.6,Zambia,63.4,Zambia,2.94
Zimbabwe,16.7M,Zimbabwe,3.29,Zimbabwe,61.7,Zimbabwe,4.46
,,,,,,,
,,,,,,,
,,,,,,,
